Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Đức Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",40 m²,3.9 tỷ,4 m,4 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",68 m²,10.5 tỷ,5 m,7 m,5 tầng,9 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đại Kim, Phường Đại Kim, Hoàng Mai, Hà Nội",45 m²,4.15 tỷ,4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất.,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",36 m²,3.55 tỷ,3.8 m,3 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",45 m²,3.99 tỷ,4 m,4 m,5 tầng,4 phòng,3 phòng,Sổ đỏ.,Đầy đủ nội thất.,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",42 m²,3.88 tỷ,4 m,3 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Nguyễn Hữu Thọ, Phường Đại Kim, Hoàng Mai, Hà Nội",45 m²,3.99 tỷ,4 m,3 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",45 m²,4.05 tỷ,4 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",45 m²,4.1 tỷ,4 m,10 m,4 tầng,4 phòng,,Sổ đỏ.,Full.,,
"Phố Lê Gia Định, Phường Phố Huế, Hai Bà Trưng, Hà Nội",69 m²,10.5 tỷ,4.6 m,,2 tầng,4 phòng,2 phòng,,,Bắc,
"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",61 m²,10.9 tỷ,5 m,7 m,5 tầng,5 phòng,5 phòng,,,,
"Phường Bạch Mai, Hai Bà Trưng, Hà Nội",21 m²,2.4 tỷ,,,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Phường Quang Trung, Hà Đông, Hà Nội",41 m²,3.1 tỷ,5 m,3.5 m,2 tầng,2 phòng,2 phòng,Đã có sổ đỏ,Nội thất cơ bản,,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",40 m²,9.5 tỷ,,,6 tầng,3 phòng,,Sổ đỏ,,,
"Đường Cổng Đục, Phường Hàng Mã, Hoàn Kiếm, Hà Nội",65 m²,11.3 tỷ,3 m,25 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",56 m²,4.7 tỷ,5 m,5 m,2 tầng,14 phòng,,Sổ đỏ/ Sổ hồng,Full.,,
"Đường Đặng Xuân Bảng, Phường Đại Kim, Hoàng Mai, Hà Nội",45 m²,3.86 tỷ,4 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",157 m²,23.3 tỷ,,,6 tầng,11 phòng,13 phòng,Sổ đỏ,,,
"Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",120 m²,58 tỷ,8 m,8 m,7 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Ngõ 88, Đường Võ Thị Sáu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",59 m²,14.6 tỷ,4.1 m,8 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
