Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",28 m²,2.5 tỷ,,,,,,,,,
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",40 m²,6.2 tỷ,4.5 m,7 m,6 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",55 m²,6.8 tỷ,4 m,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",30 m²,5.85 tỷ,5 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ.,,,
"Đường Ông Ích Khiêm, Phường Đội Cấn, Ba Đình, Hà Nội",50 m²,9.7 tỷ,3.4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ chính chủ.,,,
"Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",48 m²,4.8 tỷ,5 m,6 m,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",108 m²,22.5 tỷ,18 m,,5 tầng,,,,,,
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",42 m²,5.35 tỷ,,,,4 phòng,,Sổ đỏ/ Sổ hồng.,Nội thất đẹp và đầy đủ.,,
"Đường Trần Quý Cáp, Phường Văn Miếu, Đống Đa, Hà Nội",40 m²,4.5 tỷ,4 m,3 m,6 tầng,4 phòng,5 phòng,,,,
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",50 m²,5.25 tỷ,,,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",35 m²,4.6 tỷ,5 m,3 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Đường Đầm Trấu, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",70 m²,13 tỷ,20 m,5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",49 m²,5.5 tỷ,,,4 tầng,4 phòng,4 phòng,SĐCC sẵn sàng giao dịch - không QH.,Tặng full nội thất như ảnh.,,
"Ngõ 21, Đường Hàn Thuyên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",35 m²,6.7 tỷ,4.3 m,3.5 m,5 tầng,3 phòng,4 phòng,,FULL,,
"Ngõ 1, Đường Đông Quan, Phường Quan Hoa, Cầu Giấy, Hà Nội",69 m²,14.1 tỷ,5 m,,5 tầng,6 phòng,6 phòng,,Nội thất sang trọng.,,
"Đường Phú Xá, Phường Phú Thượng, Tây Hồ, Hà Nội",30 m²,4.95 tỷ,,,4 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Tôn Thất Thiệp, Phường Điện Biên, Ba Đình, Hà Nội",55 m²,13.5 tỷ,5 m,4 m,,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Trích Sài, Phường Thụy Khuê, Tây Hồ, Hà Nội",60 m²,6 tỷ,5 m,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
