Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Nhà A18 ngõ 109 Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội.",39 m²,8.9 tỷ,3.2 m,8 m,Đông - Nam,Đông - Nam,7 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất.,
"Ngõ 1, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",56.6 m²,4.8 tỷ,3 m,3 m,Bắc,Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Ngõ 169, đường Trung Văn, Phường Trung Văn, Nam Từ Liêm, Hà Nội",33 m²,3.3 tỷ,5 m,,,,2 tầng,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản,2 phòng
"Ngõ 200, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",32 m²,3.85 tỷ,,,Tây - Bắc,,5 tầng,,SĐCC.,,
"Ngõ 454, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",34 m²,5.4 tỷ,3.4 m,,,,5 tầng,4 phòng,,"Để lại toàn bộ nội thất gồm: Sofa, bàn trà, bàn ăn, 2 tivi 65inch, tủ lạnh, máy giặt, điều hoà, nóng lạnh, bếp, hút, lò vi sóng. Các phòng ngủ setup giường, tủ, bàn phấn, kệ tivi đồng bộ.",3 phòng
"Phường Khương Đình, Thanh Xuân, Hà Nội",33 m²,4.7 tỷ,,,,,,,,"Cửa cuốn, tủ bếp, sàn gỗ các phòng, trần thạch cao, cầu thang gỗ Lim và đá tự nhiên, cửa thông phòng gỗ Lim, hệ thống thiết bị điện và thiết bị vệ sinh hiện đại sang trọng.",4 phòng
"Ngõ 63, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",30 m²,4.3 tỷ,,3 m,,,5 tầng,,,,3 phòng
"Phố 72, Phường Dương Nội, Hà Đông, Hà Nội",52 m²,2.23 tỷ,5 m,3 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất mới,3 phòng
"Phố Đại La, Phường Trương Định, Hai Bà Trưng, Hà Nội",45.5 m²,4.85 tỷ,5.3 m,2.5 m,Đông,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4 phòng
"Đường Biên Giang, Phường Biên Giang, Hà Đông, Hà Nội",30 m²,1.3 tỷ,4 m,3 m,Đông - Nam,Đông - Nam,3 tầng,2 phòng,Sổ đỏ,,3 phòng
"Ngõ 254, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",30 m²,2.95 tỷ,4.6 m,3 m,Nam,,4 tầng,,Sổ đỏ,Nội thất cơ bản đầy đủ,
"Ngõ 105, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",32 m²,7.28 tỷ,3.2 m,10 m,Đông - Bắc,,1 tầng,1 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"ngõ 299/2 Lô 400C,, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",35 m²,4.695 tỷ,,3 m,,,5 tầng,,Sổ hồng nở hậu.,,
"Đường Nội Am, Xã Liên Ninh, Thanh Trì, Hà Nội",84 m²,2.56 tỷ,,,,,,,Sổ đỏ,,
"số 46 ngách 53 ngõ Văn Hương, Phường Hàng Bột, Đống Đa, Hà Nội",53.3 m²,6.3 nghìn,7.6 m,,Tây - Nam,Tây - Nam,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,nội thất cơ bản phòng bếp và khách như ảnh,5 phòng
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",64.4 m²,7.6 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Cầu Tó, Xã Hữu Hòa, Thanh Trì, Hà Nội",31 m²,1.95 tỷ,3.8 m,2.5 m,,,5 tầng,4 phòng,Sổ đỏ,Cơ bản,4 phòng
"Đường Nguyễn Văn Linh, Phường Sài Đồng, Long Biên, Hà Nội",38 m²,1.7 tỷ,3.3 m,3.5 m,,,2 tầng,1 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ. ,2 phòng
"Số nhà 25 hẻm 43/4 ngõ Quan Thổ 3, Phố Tôn Đức Thắng, Phường Thổ Quan, Đống Đa, Hà Nội",33 m²,3.8 tỷ,,,,,4 tầng,,Sổ chính chủ,,
"Phường Vạn Phúc, Hà Đông, Hà Nội",44.3 m²,5.8 tỷ,3.2 m,7 m,Tây - Nam,Tây - Nam,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,"Nhà 3 tầng xây chắc chắn sạch đẹp, có thể về ở được luôn.",3 phòng
"Số 9, Ngõ 34/56, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",33 m²,3.75 tỷ,,2 m,Tây - Bắc,Tây - Bắc,4 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,
"Số 52 ngách 2, ngõ 267, Đường Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội",48 m²,4.97 tỷ,,,,,4 tầng,4 phòng,"Sổ đỏ chính chủ, sẵn sàng giao dịch","Nhà đã được trang bị nội thất cơ bản gồm tủ bếp, điều hòa, hệ thống điện nước vệ sinh,... Như hình đi kèm.",3 phòng
"Đường Tu Hoàng, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",40 m²,6.4 tỷ,4 m,12 m,Tây - Bắc,,4 tầng,4 phòng,Đã có sổ,Mới,5 phòng
"Số 11 ngõ 86, Đường Tô Vĩnh Diện, Phường Khương Trung, Thanh Xuân, Hà Nội",38 m²,4.98 tỷ,6 m,,,,4 tầng,,Sổ đỏ chính chủ,Hoàn hảo,4 phòng
"Phố Sài Đồng, Phường Sài Đồng, Long Biên, Hà Nội",43.5 m²,5.25 tỷ,5.1 m,4.5 m,,,7 tầng,5 phòng,"Sổ đỏ chính chủ, giao dịch ngay.","Nội thất đầy đủ xin sò, sang trọng,  đã trang bị điều hòa các phòng.",4 phòng
"Ngõ 93, Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",55 m²,5.88 tỷ,4.6 m,4 m,Đông - Nam,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất hoàn thiện cao cấp, cửa cuốn điện, cửa gỗ Lim nguyên tấm, sàn gỗ các tầng, thiết bị vệ sinh Tô Tô, trần thạch cao Vĩnh Tường, đèn Led tiết kiệm điện...",5 phòng
"Ngõ 31, Đường Nguyễn Cao, Phường Đống Mác, Hai Bà Trưng, Hà Nội",43 m²,4.1 tỷ,4.2 m,,Tây,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất hoàn thiện cao cấp, cửa gỗ Lim nguyên tấm, sàn gỗ các tầng, thiết bị vệ sinh Tô Tô, trần thạch cao Vĩnh Tường, đèn led tiết kiệm điện...",3 phòng
"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",65 m²,5.35 tỷ,5.1 m,2.8 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp ,9 phòng
"Ngõ 173, Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",43.5 m²,4.6 tỷ,,,Đông - Bắc,,5 tầng,3 phòng,Sổ đỏ.,Nội thất cơ bản.,3 phòng
"Ngách 52/228, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",30 m²,2.9 tỷ,,,Tây,,4 tầng,3 phòng,Sổ đỏ.,,4 phòng
"Ngõ 9, Đường Đặng Thai Mai, Phường Quảng An, Tây Hồ, Hà Nội",71 m²,9.9 tỷ,,,,,5 tầng,,,,3 phòng
"18 ngõ 50, Đường Lĩnh Nam, Phường Mai Động, Hoàng Mai, Hà Nội",31 m²,4.5 tỷ,,3 m,,,5 tầng,,Sổ đỏ,,
"Đường Kim Hoàng, Xã Vân Canh, Hoài Đức, Hà Nội",40 m²,4.35 tỷ,3.4 m,4 m,Tây - Bắc,Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Để lại hết nội thất,4 phòng
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",24 m²,1.95 tỷ,,,,,,2 phòng,Sổ đỏ/ Sổ hồng,,2 phòng
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",40 m²,9.2 tỷ,4 m,,,,4 tầng,,,,
"Ngõ 381, Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",46 m²,9.2 tỷ,9 m,4 m,,,7 tầng,6 phòng,Sổ đỏ/ Sổ hồng,"Nhập khẩu, đầy đủ",4 phòng
"Ngõ 92, Đường Mai Động, Phường Minh Khai, Hai Bà Trưng, Hà Nội",46 m²,6.24 tỷ,,3.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,9 phòng
"Đường Trương Công Giai, Phường Dịch Vọng, Cầu Giấy, Hà Nội",60 m²,5.3 tỷ,4 m,3 m,Tây - Nam,Tây - Nam,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đủ nội thất điều hoà bếp từ tivi.,3 phòng
"Ngõ 38, Phố Phương Mai, Phường Kim Liên, Đống Đa, Hà Nội",60 m²,4.95 tỷ,9 m,1.2 m,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,
"Ngõ 34, Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",60 m²,4.95 tỷ,9 m,1.3 m,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,
"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",60 m²,5.6 tỷ,5.5 m,2.6 m,Tây - Bắc,Tây - Bắc,4 tầng,30 phòng,Sổ đỏ/ Sổ hồng,"Đủ Nội thất gồm có: Tủ bếp sang trọng, nóng lạnh, trần thạch cao, cửa chính, cửa thông phòng và tay vịn cầu thang bằng gỗ tự nhiên; ống chờ điều hoà sẵn chỉ việc lắp.",5 phòng
"Ngõ 751, Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội",30 m²,2.9 tỷ,4 m,3 m,Đông - Nam,,4 tầng,,Sổ đỏ/ Sổ hồng.,,3 phòng
"ngõ 243, Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",18 m²,1.7 tỷ,3 m,2 m,Tây,,4 tầng,3 phòng,Sổ đỏ,,3 phòng
"Số 17/2 ngõ 72, Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội",39 m²,6.81 tỷ,3.8 m,5 m,Đông - Bắc,Đông - Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Tặng 2 bình nóng lạnh, 4 điều hoà.",4 phòng
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",130 m²,9.5 tỷ,,,,,1 tầng,,Sổ đỏ/ Sổ hồng,,
"Số 10 ngõ 251, Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",40 m²,6.3 tỷ,3.5 m,3 m,Đông - Nam,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Cửa, cầu thang gỗ lim, khoá từ thông minh, sàn gỗ, tủ bếp, bếp từ, hút mùi, NL...",5 phòng
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",20 m²,2.4 tỷ,3 m,2 m,Đông,Đông,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Điều hòa, nóng lạnh, tủ thờ",3 phòng
"Ngõ 242, Phố Xã Đàn, Phường Phương Mai, Đống Đa, Hà Nội",45 m²,4.5 tỷ,5 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 1333/17, Đường Giải Phóng, Phường Giáp Bát, Hoàng Mai, Hà Nội",35 m²,3.95 tỷ,,,,,5 tầng,,,,4 phòng
"Ngõ 1043, Đường Giải Phóng, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",55 m²,9.8 tỷ,4 m,5 m,Đông,Đông,5 tầng,5 phòng,,"Nhà xây dựng móng ép cọc bê tông có hình ảnh ghi lại, nội thất gỗ An Cường, thiết bị vệ sinh Inax, bảo hành lâu dài.",6 phòng
"Ngõ 82, Đường Phạm Ngọc Thạch, Phường Quang Trung, Đống Đa, Hà Nội",42 m²,5.45 tỷ,33 m,2 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,5 phòng
"Xã Cự Khê, Thanh Oai, Hà Nội",32 m²,2.25 tỷ,3.7 m,,,,4 tầng,3 phòng,Sổ đỏ,"Đầy đủ nội thất gồm điều hòa, nóng lạnh, rèm cửa, xách vali về ở ngay.",3 phòng
"Ngõ 2, Đường Cầu Bươu, Xã Tân Triều, Thanh Trì, Hà Nội",33 m²,3.25 tỷ,,2.5 m,,,,,,,
"Ngõ 27, Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",47 m²,3.39 tỷ,4 m,2 m,,,5 tầng,4 phòng,Sổ đỏ chính chủ,"Full nội thất xịn xò, mới",3 phòng
"Ngõ 55, Đường Hoàng Hoa Thám, Phường Ngọc Hà, Ba Đình, Hà Nội",42 m²,4.7 tỷ,5 m,2.5 m,Bắc,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",32.6 m²,5.5 tỷ,5.2 m,3 m,Tây - Bắc,Đông - Bắc,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",50 m²,6.7 tỷ,4 m,,,,5 tầng,,Sổ đầy đủ,Full nội thất cơ bản.,7 phòng
"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Hoàng Mai, Hà Nội",55 m²,9.5 tỷ,5 m,3 m,Đông - Nam,Tây - Bắc,7 tầng,13 phòng,Sổ đỏ.,,13 phòng
"Phố Nguyễn Đổng Chi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",55 m²,8.5 tỷ,5 m,3 m,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4 phòng
"Số 92a ngõ 318, Phố Ngọc Trì, Phường Thạch Bàn, Long Biên, Hà Nội",38.4 m²,5.7 tỷ,,,Đông,Đông,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất đầy đủ tiện nghi điều hoà, tủ lạnh.",5 phòng
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",33 m²,3.69 tỷ,,2.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,"Nhà đầy đủ công năng, nội thất đầy đủ.",3 phòng
"Đường Bờ Sông Sét, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",54 m²,5.4 tỷ,4 m,,,,5 tầng,5 phòng,Sổ đỏ.,Cơ bản.,6 phòng
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",70 m²,2.4 tỷ,5 m,2 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,
"Ngõ Văn Hương, Phường Hàng Bột, Đống Đa, Hà Nội",34.6 m²,4.05 tỷ,5.76 m,,Đông - Nam,,5 tầng,,,,
"Đường Do Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",50 m²,6.6 tỷ,,6 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Phú Thượng, Phường Phú Thượng, Tây Hồ, Hà Nội",57 m²,6.5 tỷ,3.5 m,3 m,,,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,,9 phòng
